Identifier,Remark,Identifier,default,ru
,,MANPAGES_CCMD_SKINS_EXMP,,
,,MANPAGES_CCMD_SKYFOG_NAME,skyfog <value>,
,,MANPAGES_CCMD_SKYFOG_DESC,Changes the density of the fog that affects the {{sky}} plane. This allows to test sky fog sheets.,
,,MANPAGES_CCMD_SKYFOG_EXMP,,
,,MANPAGES_CCMD_SLOT_NAME,slot <slotnumber>,
,,MANPAGES_CCMD_SLOT_DESC,Selects the next {{weapon}} from the specified {{weapon slot}}.,
,,MANPAGES_CCMD_SLOT_EXMP,,
,,MANPAGES_CCMD_SND_LISTDRIVERS_NAME,snd_listdrivers,
,,MANPAGES_CCMD_SND_LISTDRIVERS_DESC,Lists the drivers supported by the current {{snd_output}} setting.,
,,MANPAGES_CCMD_SND_LISTDRIVERS_EXMP,,
,,MANPAGES_CCMD_SND_LISTMIDIDEVICES_NAME,snd_listmididevices,
,,MANPAGES_CCMD_SND_LISTMIDIDEVICES_DESC,This command lists the {{MIDI devices}} available in the system. Devices in this list can be used in the {{snd_mididevice}} cvar to select which device plays music. Devices with negative numbers are provided by {{ZDoom}} itself.,
,,MANPAGES_CCMD_SND_LISTMIDIDEVICES_EXMP,,
,,MANPAGES_CCMD_SND_STATUS_NAME,snd_status,
,,MANPAGES_CCMD_SND_STATUS_DESC,Lists information about the current sound device.,
,,MANPAGES_CCMD_SND_STATUS_EXMP,,
,,MANPAGES_CCMD_SOUNDLINKS_NAME,soundlinks,
,,MANPAGES_CCMD_SOUNDLINKS_DESC,"Lists the links between different sounds that use the same sound data. Links are generated dynamically while you play, so it is possible for this command to give different results in different games and even at different times during the same game.",
,,MANPAGES_CCMD_SOUNDLINKS_EXMP,,
,,MANPAGES_CCMD_SOUNDLIST_NAME,soundlist,
,,MANPAGES_CCMD_SOUNDLIST_DESC,"Lists all the sounds defined and the lumps that they alias to. Unlike regular {{{{Doom}}}}, ZDoom refers to sounds using a long name and uses a {{SNDINFO}} lump to map those to the lumps in a WAD file that contain the actual sounds. Logical sounds that refer to the same sound data will have links generated as necessary to avoid actually loading multiple copies of the same sound into memory.",
,,MANPAGES_CCMD_SOUNDLIST_EXMP,,
,,MANPAGES_CCMD_SPECIAL_NAME,special <special> [arg1 [arg2 [arg3 [arg4 [arg5]]]]],
,,MANPAGES_CCMD_SPECIAL_DESC,"Executes an {{action special}} on the current map, optionally passing it up to five numerical arguments.",
,,MANPAGES_CCMD_SPECIAL_EXMP,,
,,MANPAGES_CCMD_SPRAY_NAME,spray <decal>,
,,MANPAGES_CCMD_SPRAY_DESC,Sprays a {{decal}} on a nearby wall so you can see what it looks like.,
,,MANPAGES_CCMD_SPRAY_EXMP,,
,,MANPAGES_CCMD_SPYNEXT_NAME,spynext,
,,MANPAGES_CCMD_SPYNEXT_DESC,"During a {{cooperative}} game or while watching a {{multiplayer}} {{demo}}, this command will switch your view to the next player.",
,,MANPAGES_CCMD_SPYNEXT_EXMP,,
,,MANPAGES_CCMD_SPYPREV_NAME,spyprev,
,,MANPAGES_CCMD_SPYPREV_DESC,"During a {{cooperative}} game or while watching a {{multiplayer}} {{demo}}, this command will switch your view to the previous player.",
,,MANPAGES_CCMD_SPYPREV_EXMP,,
,,MANPAGES_CCMD_STAT_NAME,stat [page],
,,MANPAGES_CCMD_STAT_DESC,"Displays profiling information. When used alone, displays a list of available displays. Use one of those as the {{page}} parameter to toggle the display on and off.",
,,MANPAGES_CCMD_STAT_EXMP,,
,,MANPAGES_CCMD_STOP_NAME,stop,
,,MANPAGES_CCMD_STOP_DESC,Stops demo recording and exits the game.,
,,MANPAGES_CCMD_STOP_EXMP,,
,,MANPAGES_CCMD_STOPMUS_NAME,stopmus,
,,MANPAGES_CCMD_STOPMUS_DESC,Stops playing the current song.,
,,MANPAGES_CCMD_STOPMUS_EXMP,,
,,MANPAGES_CCMD_SUMMON_NAME,summon <class> [angle [TID [special [args... ]]]],
,,MANPAGES_CCMD_SUMMON_DESC,"Spawns a new actor in front of you. A complete list of actors can be obtained with the dumpclasses actor command. For a list of actors limited to those you can place in an editor, use the dumpmapthings command. It is possible to spawn actors from another game with this command, but they will not be visible unless you provide the missing graphics for them.

By default, the actor spawns facing East. If the optional angle parameter is provided, the actor is spawned at an angle relative to the player's current facing instead. (0 faces away from the player, while 180 faces towards him).

Additional optional parameters can be used to set the summoned actor's {{TID}}, {{special}}, and arguments.",
,,MANPAGES_CCMD_SUMMON_EXMP,,
,,MANPAGES_CCMD_SUMMONFOE_NAME,summonfoe <class> [angle [TID [special [args... ]]]],
,,MANPAGES_CCMD_SUMMONFOE_DESC,"Same as summon, but forces monsters created using this command to be hostile to the player, regardless of the actor's {{FRIENDLY}}.",
,,MANPAGES_CCMD_SUMMONFOE_EXMP,,
,,MANPAGES_CCMD_SUMMONFRIEND_NAME,summonfriend <class> [angle [TID [special [args... ]]]],
,,MANPAGES_CCMD_SUMMONFRIEND_DESC,"Same as summon, but causes monsters created using this command to attack non-friendly monsters instead of you.",
,,MANPAGES_CCMD_SUMMONFRIEND_EXMP,,
,,MANPAGES_CCMD_SUMMONMBF_NAME,summonmbf <class> [angle],
,,MANPAGES_CCMD_SUMMONMBF_DESC,"Same as summonfriend, but also gives the summoned actor the {{NOBLOCKMONST}} flag, allowing them to cross monster-blocking lines like MBF friendly monsters do.",
,,MANPAGES_CCMD_SUMMONMBF_EXMP,,
,,MANPAGES_CCMD_TAKE_NAME,take <item> <amount>,
,,MANPAGES_CCMD_TAKE_DESC,"Takes an item away from the player. Amount specifies how many to take away (if applicable). Can be used to damage the player by using ""take health X"", where X is the amount of damage to do. If the player reaches 0 health this way, he will die. Use the command printinv for a full list of what is in the player's inventory.",
,,MANPAGES_CCMD_TAKE_EXMP,,
,,MANPAGES_CCMD_TARGETINV_NAME,targetinv,
,,MANPAGES_CCMD_TARGETINV_DESC,"Executes ""printinv"" at current crosshair target, listing their inventory items.",
,,MANPAGES_CCMD_TARGETINV_EXMP,,
,,MANPAGES_CCMD_TEAMLIST_NAME,teamlist,
,,MANPAGES_CCMD_TEAMLIST_DESC,Lists the {{teams}} defined in {{TEAMINFO}}.,
,,MANPAGES_CCMD_TEAMLIST_EXMP,,
,,MANPAGES_CCMD_TESTCOLOR_NAME,testcolor <color>,
,,MANPAGES_CCMD_TESTCOLOR_DESC,Sets the {{light color}} of any sectors using the default light to {{color}}. {{color}} can be either a color defined in the {{X11R6RGB}} lump or a color string.,
,,MANPAGES_CCMD_TESTCOLOR_EXMP,,
,,MANPAGES_CCMD_TESTFADE_NAME,testfade <color>,
,,MANPAGES_CCMD_TESTFADE_DESC,"Temporarily sets the {{fade color}} of the current level to {{color}}. Most levels fade to black by default, but this can be changed with the MAPINFO lump. {{color}} can be either a color defined in the {{X11R6RGB}} lump or a color string.",
,,MANPAGES_CCMD_TESTFADE_EXMP,,
,,MANPAGES_CCMD_TESTMUSICVOL_NAME,testmusicvol [<volume>],
,,MANPAGES_CCMD_TESTMUSICVOL_DESC,Allows to change the relative music volume of the current song without changing {{snd_musicvolume}}. The baseline is 1.0. This can be used to test the effect that a {{$musicvolume}} entry for the current song in {{SNDINFO}} would have.,
,,MANPAGES_CCMD_TESTMUSICVOL_EXMP,,
,,MANPAGES_CCMD_THAW_NAME,thaw,
,,MANPAGES_CCMD_THAW_DESC,Clears the PROP_FROZEN and PROP_TOTALLYFROZEN {{properties}} from the player. This is considered a cheat.,
,,MANPAGES_CCMD_THAW_EXMP,,
,,MANPAGES_CCMD_TIMEDEMO_NAME,timedemo,
,,MANPAGES_CCMD_TIMEDEMO_DESC,"Plays a demo as fast as the refresh rate will allow and displays the average framerate attained during playback. Due to limitations in the current demo system, this command will also exit the game when the demo finishes.",
,,MANPAGES_CCMD_TIMEDEMO_EXMP,,
,,MANPAGES_CCMD_TOGGLE_NAME,toggle <cvar>,
,,MANPAGES_CCMD_TOGGLE_DESC,Toggles the value of {{cvar}} between false and true (zero and  non-zero).,
,,MANPAGES_CCMD_TOGGLE_EXMP,,
,,MANPAGES_CCMD_TOGGLECONSOLE_NAME,toggleconsole,
,,MANPAGES_CCMD_TOGGLECONSOLE_DESC,Toggles display of the {{console}} on/off.,
,,MANPAGES_CCMD_TOGGLECONSOLE_EXMP,,
,,MANPAGES_CCMD_TOGGLEMAP_NAME,togglemap,
,,MANPAGES_CCMD_TOGGLEMAP_DESC,"Press to active the {{automap}}. Press again to return to the game. If {{am_overlay}} is true, this is also used toggle the overlay map.",
,,MANPAGES_CCMD_TOGGLEMAP_EXMP,,
,,MANPAGES_CCMD_TOGGLEMESSAGES_NAME,togglemessages,
,,MANPAGES_CCMD_TOGGLEMESSAGES_DESC,"Toggles display of game messages on/off. The only difference between doing this and ""{{toggle}} {{show_messages}}"" is that this command always displays a message describing the current state of messages.",
,,MANPAGES_CCMD_TOGGLEMESSAGES_EXMP,,
,,MANPAGES_CCMD_TOGGLESCOREBOARD_NAME,togglescoreboard,
,,MANPAGES_CCMD_TOGGLESCOREBOARD_DESC,Toggles the display of the {{scoreboard}} on and off.,
,,MANPAGES_CCMD_TOGGLESCOREBOARD_EXMP,,
,,MANPAGES_CCMD_TURN180_NAME,turn180,
,,MANPAGES_CCMD_TURN180_DESC,"Instantly turns the player 180 degrees, reversing his facing.",
,,MANPAGES_CCMD_TURN180_EXMP,,
,,MANPAGES_CCMD_TURNSPEEDS_NAME,turnspeeds [speed1 [speed2 [speed3 [speed4]]]],
,,MANPAGES_CCMD_TURNSPEEDS_DESC,"Controls how quickly you turn with the keyboard. Using this command without any parameters lists the current turning speeds. To set the speeds, specify at least one, and any you do not specify will be filled in automatically. The different speeds are used in the following situations:
- Turning while walking
- Turning while running
- Just started turning while walking
- Just started turning while running",
,,MANPAGES_CCMD_TURNSPEEDS_EXMP,,
,,MANPAGES_CCMD_UNBIND_NAME,unbind <key>,
,,MANPAGES_CCMD_UNBIND_DESC,Removes a binding from the specified key.,
,,MANPAGES_CCMD_UNBIND_EXMP,,
,,MANPAGES_CCMD_UNBINDALL_NAME,unbindall,
,,MANPAGES_CCMD_UNBINDALL_DESC,"Removes all bindings and doublebindings from every key. To restore the default bindings, you can use the binddefaults command. {{Caution: there is no way to restore any custom bindings after issuing this command except by retyping each bind command or using the controls setup menu.}}",
,,MANPAGES_CCMD_UNBINDALL_EXMP,,
,,MANPAGES_CCMD_UNDOUBLEBIND_NAME,undoublebind <key>,
,,MANPAGES_CCMD_UNDOUBLEBIND_DESC,Removes a doublebinding from the specified key.,
,,MANPAGES_CCMD_UNDOUBLEBIND_EXMP,,
,,MANPAGES_CCMD_UNMAPBIND_NAME,unmapbind <key>,
,,MANPAGES_CCMD_UNMAPBIND_DESC,Removes a mapbinding from the specified key.,
,,MANPAGES_CCMD_UNMAPBIND_EXMP,,
,,MANPAGES_CCMD_UNSET_NAME,unset <CVAR>,
,,MANPAGES_CCMD_UNSET_DESC,Undefines a user-created CVAR.,
,,MANPAGES_CCMD_UNSET_EXMP,,
,,MANPAGES_CCMD_USE_NAME,use <item>,
,,MANPAGES_CCMD_USE_DESC,"Uses an item of class type <item>, if present in the player's inventory.  If the item is not present, nothing happens.  For correct activation of {{Hexen}}'s {{flechettes}} from the console, see {{useflechette}} below.",
,,MANPAGES_CCMD_USE_EXMP,,
,,MANPAGES_CCMD_USEFLECHETTE_NAME,useflechette,
,,MANPAGES_CCMD_USEFLECHETTE_DESC,"{{Hexen}}'s {{flechettes}} require special handling due to the actual item in the inventory being different depending on the player class picking them up.  This command uses a flechette of the type corresponding to the player class, if present in the player's inventory. If the player has no flechettes in their inventory, nothing happens.",
,,MANPAGES_CCMD_USEFLECHETTE_EXMP,,
,,MANPAGES_CCMD_UTID_NAME,utid [start [limit]],
,,MANPAGES_CCMD_UTID_DESC,"Prints an unused {{TID}}. If start is 0 or omitted, then a random TID will be chosen. Otherwise, it will perform a linear search starting from  start_tid. If limit is given and non-0, then it will not check more than <limit> number of TIDs. Prints 0 if no suitable TID was found.",
,,MANPAGES_CCMD_UTID_EXMP,,
,,MANPAGES_CCMD_VID_LISTADAPTERS_NAME,vid_listadapters,
,,MANPAGES_CCMD_VID_LISTADAPTERS_DESC,Prints a list of all video adapters available. This command only works with either the {{ZDoom}} {{Direct3D}} renderer or the {{GZDoom}}/{{Zandronum}} {{OpenGL}} renderer. Choosing which adapter to use can be done by setting the value of the {{vid_adapter}} {{console variable}}.,
,,MANPAGES_CCMD_VID_LISTADAPTERS_EXMP,,
,,MANPAGES_CCMD_WARP_NAME,warp <x-coord> <y-coord> [z-coord],
,,MANPAGES_CCMD_WARP_DESC,Sends you to the specified coordinates immediately. This can be used with {{idmypos}} to debug problems in a specific area of a map.,
,,MANPAGES_CCMD_WARP_EXMP,,
,,MANPAGES_CCMD_WDIR_NAME,wdir <archive>,
,,MANPAGES_CCMD_WDIR_DESC,Lists the contents of a loaded wad file or other archive.,
,,MANPAGES_CCMD_WDIR_EXMP,,
,,MANPAGES_CCMD_WEAPDROP_NAME,weapdrop,
,,MANPAGES_CCMD_WEAPDROP_DESC,Drops the currently selected {{weapon}}.,
,,MANPAGES_CCMD_WEAPDROP_EXMP,,
,,MANPAGES_CCMD_WEAPNEXT_NAME,weapnext,
,,MANPAGES_CCMD_WEAPNEXT_DESC,"Selects the next {{weapon}} (in order) that you own and have {{ammo}} for. In addition, it plays the ""misc/weaponchange"" sound if defined. By default it is not.",
,,MANPAGES_CCMD_WEAPNEXT_EXMP,,
,,MANPAGES_CCMD_WEAPONSECTION_NAME,weaponsection <ini section>,
,,MANPAGES_CCMD_WEAPONSECTION_DESC,"This command is similar to {{addkeysection}}. Upon execution, it loads all the weapon slot assignments from the corresponding section in {{zdoom.ini}}. When you quit the game, the weapon slots will also be stored in the specified section in zdoom.ini instead of their standard location so that they do not overwrite the player's normal weapon assignments.",
,,MANPAGES_CCMD_WEAPONSECTION_EXMP,,
,,MANPAGES_CCMD_WEAPPREV_NAME,weapprev,
,,MANPAGES_CCMD_WEAPPREV_DESC,"Selects the previous {{weapon}} (in order) that you own and have {{ammo}} for. In addition, it plays the ""misc/weaponchange"" sound if defined. By default it is not.",
,,MANPAGES_CCMD_WEAPPREV_EXMP,,
,,MANPAGES_CCMD_WHEREISINI_NAME,whereisini,
,,MANPAGES_CCMD_WHEREISINI_DESC,"Prints the location of the current {{zdoom.ini}} to the console. The zdoom.ini file is normally stored in the user's profile directory. It may not be immediately obvious where that is, so you can use this command to find out.",
,,MANPAGES_CCMD_WHEREISINI_EXMP,,
